,Brand,Model,Make_Year,Price,Location,Distance travelled in km,EMI per month,Fuel type,owner
0,Mahindra,Thar ,2020,₹11.93L,Delhi,"11,003","22,708",D,1
1,Tata,NEXON ,2023,₹8.81L,Ghaziabad,"10,555","16,768",P,1
2,Tata,Harrier ,2022,₹14.41L,"Golf Course Ext., Gurugram","27,990","27,428",D,1
3,Ford,Ecosport ,2021,₹8.87L,Noida,"23,480","16,883",D,1
4,Tata,PUNCH ,2022,₹7.91L,"Raj Nagar Extension, Ghaziabad",450,"15,464",P,1
5,Tata,NEXON ,2020,₹7.21L,"Rohini, New Delhi","59,866","14,092",D,1
6,Ford,Ecosport ,2019,₹7.66L,"Rohini, New Delhi","58,503","14,977",P,1
7,Tata,Tiago ,2023,₹5.23L,"Golf Course Ext., Gurugram","6,676","10,234",P,1
8,Hyundai,Verna ,2020,₹9.25L,Faridabad,"60,592","17,607",D,1
9,Maruti,Alto K10 ,2014,₹2.61L,"Rohini, New Delhi","71,297","5,805",P,1
10,Honda,Amaze ,2022,₹6.95L,"Rohini, New Delhi","15,935","13,587",P,1
11,Hyundai,GRAND I10 NIOS ,2023,₹7.25L,"Golf Course Ext., Gurugram","2,850","14,174",P,1
12,MG,HECTOR ,2022,₹15.98L,"Rohini, New Delhi","26,999","30,416",P,1
13,Hyundai,Verna ,2020,₹9.88L,Noida,"48,995","18,806",D,1
14,Tata,Tiago ,2022,₹6.84L,"Golf Course Ext., Gurugram","22,874","13,367",C,1
15,Maruti,Alto ,2019,₹3.16L,"Rohini, New Delhi","60,452","6,178",P,1
16,Maruti,Celerio ,2016,₹3.94L,Noida,"32,928","7,708",P,1
17,KIA,CARENS ,2022,₹16.20L,"Golf Course Ext., Gurugram","34,694","30,835",D,1
18,Maruti,IGNIS ,2019,₹4.62L,Noida,"51,244","9,032",P,1
19,Renault,TRIBER ,2023,₹6.31L,"Golf Course Ext., Gurugram","6,843","12,344",P,1
20,Honda,Amaze ,2018,₹7.37L,Bengaluru,"33,476","14,408",D,1
21,Honda,City ,2013,₹4.57L,"Bhoruka Tech Park, Benga...","84,818","12,035",P,1
22,Ford,Ecosport ,2016,₹6.13L,"Magrath Road, Bengaluru","71,617","11,984",P,1
23,Renault,Duster ,2017,₹7.49L,"Magrath Road, Bengaluru","71,918","14,645",D,2
24,Maruti,Alto K10 ,2016,₹3.18L,"Bhoruka Tech Park, Benga...","65,574","6,217",P,
25,Maruti,Celerio ,2018,₹5.04L,"Bhoruka Tech Park, Benga...","40,683","9,862",P,1
26,Maruti,Baleno ,2022,₹7.54L,Bengaluru,"23,050","14,741",P,1
27,Mahindra,XUV500 ,2015,₹8.05L,Bengaluru,"98,440","17,494",D,1
28,Renault,Kwid ,2020,₹4.83L,Bengaluru,"24,745","9,435",P,1
29,Hyundai,i20 ,2010,₹2.71L,"Bhoruka Tech Park, Benga...","62,220","24,091",P,2
30,Maruti,Celerio ,2015,₹4.18L,Bengaluru,"69,702","8,163",P,1
31,Hyundai,Elite i20 ,2016,₹6.58L,"Singasandra, Bengaluru","43,248","12,861",P,1
32,Tata,ALTROZ ,2023,₹8.70L,Bengaluru,"14,929","16,560",P,1
